,glnno,kalfaad,barcode,created_at,Ürün Adı,Ana Kategori,Alt Kategori 1,Alt Kategori 2,KAT,Eczane adı,Danısman X (devIr),boro,İlçe,latitude,longitude,Firma
58,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-04-26 18:21:01,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
59,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-04-27 09:24:27,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
60,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-04-28 16:29:50,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
61,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-05-03 15:39:56,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
62,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-05-04 16:07:29,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
63,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-05-04 16:07:30,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
64,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-05-08 10:44:47,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
65,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-05-09 16:36:20,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
66,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-05-09 16:48:03,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
67,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-05-11 18:09:58,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
68,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-05-15 16:39:38,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
69,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-05-19 15:21:41,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
70,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-05-19 15:43:43,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
71,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-05-20 13:01:37,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
72,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-05-25 10:11:00,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
73,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-05-25 10:11:00,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
74,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-05-30 15:30:35,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
75,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-06-01 15:57:58,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
76,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-06-06 19:22:18,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
